GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
modul26,com.globus.modul26.security,SuspiciousActivityDetector,292,9,50,0,56,2,37,2,12,2
modul26,com.globus.modul26.util,CefUtil,42,0,0,0,8,0,3,0,3,0
modul26,com.globus.modul26.util,LogRotator,24,176,3,5,2,39,3,10,0,9
modul26,com.globus.modul26.config,SecurityConfig,0,196,0,0,0,31,0,9,0,9
modul26,com.globus.modul26.config,SecurityConfig.new OncePerRequestFilter() {...},11,3,0,0,3,1,1,1,1,1
modul26,com.globus.modul26,Modul26Application,5,3,0,0,2,1,1,1,1,1
modul26,com.globus.modul26.controller,AuthController.LoginRequest,17,0,0,0,5,0,5,0,5,0
modul26,com.globus.modul26.controller,AuthController,205,0,20,0,51,0,12,0,2,0
modul26,com.globus.modul26.controller,UserController,15,3,0,0,2,1,2,1,2,1
modul26,com.globus.modul26.controller,AuthController.JwtResponse,9,0,0,0,2,0,2,0,2,0
modul26,com.globus.modul26.controller,SecurityLogController,289,0,50,0,62,0,30,0,5,0
modul26,com.globus.modul26.controller,RegistrationController,223,12,40,0,47,5,22,1,2,1
modul26,com.globus.modul26.dto,RegisterResponse,76,0,0,0,24,0,16,0,16,0
modul26,com.globus.modul26.dto,SecurityLogDTO,45,0,0,0,19,0,13,0,13,0
modul26,com.globus.modul26.dto,AuthResponse,23,0,0,0,10,0,5,0,5,0
modul26,com.globus.modul26.dto,RegisterRequest,52,0,0,0,15,0,15,0,15,0
modul26,com.globus.modul26.service,SecurityLogService,91,0,12,0,17,0,8,0,2,0
modul26,com.globus.modul26.service,CustomUserDetailsService,33,3,0,0,7,1,2,1,2,1
modul26,com.globus.modul26.service,SecurityLogServiceImpl,736,0,116,0,150,0,81,0,23,0
modul26,com.globus.modul26.service,JwtServiceImpl,44,10,0,0,11,3,1,2,1,2
modul26,com.globus.modul26.integrations,SIEMExporter,30,3,0,0,4,1,1,1,1,1
modul26,com.globus.modul26.model,User,115,0,0,0,33,0,28,0,28,0
modul26,com.globus.modul26.model,SecurityLog,14,0,4,0,5,0,3,0,1,0
modul26,com.globus.modul26.model,JsonbConverter,59,5,6,0,15,1,6,1,3,1
modul26,com.globus.modul26.model,JsonbConverter.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
modul26,com.globus.modul26.model,Role,0,15,0,0,0,2,0,1,0,1
